DAIRA,COMMUNE,FORET,DATE_DECL,HEURE_DECL,DATE_INT,HEURE_INT,DATE_EXT,HEURE_EXT,ESSENCE,TOT_FORET,TOT_MAQUIS,TOT_BROUSSAILLES,SURF_TOTAL,CAUSE,SIGNALE,ORGANISMES,DEGATS,DECL_YEAR,DECL_MONTH,DECL_DAY,INT_YEAR,INT_MONTH,INT_DAY,EXT_YEAR,EXT_MONTH,EXT_DAY,DECL_HOUR,INT_HOUR,EXT_HOUR,METEO_TEMP,METEO_VENTE_VITESSE,METEO_VENTE_DIRECTION,LOCATION_NAME,LONGITUDE,LATITUDE
BOUCHEGOUF,MEDJEZ SFA,LOURIDA,2011-09-11 00:00:00,1899-12-31 11:40:00,2011-09-11 00:00:00,1899-12-31 11:55:00,2011-09-11 00:00:00,1899-12-31 14:30:00,MAQ,0,1.5,0,1.5,INC,BM,SF,30000,2011,9,11,2011,9,11,2011,9,11,11,11,14,36.5,13.8,S+E,,7.756,36.585
BOUCHEGOUF,MEDJEZ SFA,EL MAZA SEGHIRA,2011-09-13 00:00:00,1899-12-31 13:09:00,2011-09-13 00:00:00,1899-12-31 13:34:00,2011-09-13 00:00:00,1899-12-31 16:55:00,MAQ,0,0.5,0,0.5,INC,BM,SF+EMPS,10000,2011,9,13,2011,9,13,2011,9,13,13,13,16,33.4,5.7,S+E,,7.756,36.585
BOUCHEGOUF,MEDJEZ SFA,EL MAZA SEGHIRA,2011-09-15 00:00:00,1899-12-31 10:30:00,2011-09-15 00:00:00,1899-12-31 10:45:00,2011-09-15 00:00:00,1899-12-31 17:30:00,MAQ,0,2,0,2,INC,BM,SF+EMPS,40000,2011,9,15,2011,9,15,2011,9,15,10,10,17,34.2,13.8,S+E,,7.756,36.585
OUED ZENATI,BORDJ SABAT,MOUBIA,2011-09-15 00:00:00,1899-12-31 12:15:00,2011-09-15 00:00:00,1899-12-31 13:00:00,2011-09-15 00:00:00,1899-12-31 13:30:00,MAQ,0,0.5,0,0.5,INC,PV,SF+PC+DW,10000,2011,9,15,2011,9,15,2011,9,15,12,13,13,34.2,13.8,S+E,,7.318,36.329
HAMMAM DEBAGH,BOUHAMDANE,SEBAA MZAZET,2011-10-07 00:00:00,1899-12-31 14:05:00,2011-10-07 00:00:00,1899-12-31 14:10:00,2011-10-07 00:00:00,1899-12-31 16:45:00,EUC+REB,13,0,0,13,INC,PV,SF+PC,5200000,2011,10,7,2011,10,7,2011,10,7,14,14,16,29.3,8.4,S+E,,7.311,36.362
BOUCHEGOUF,BOUCHEGOUF,ZAAFRANIA,2012-06-30 00:00:00,1899-12-31 14:00:00,2012-06-30 00:00:00,1899-12-31 15:20:00,2012-06-30 00:00:00,1899-12-31 19:22:00,BRS,0,0,13.32,13.32,INC,BM,SF+PC+POP,133200,2012,6,30,2012,6,30,2012,6,30,14,15,19,40.5,3,S+SE,,7.728,36.468
BOUCHEGOUF,OUED FRAGHA,KEF LESOUAD,2012-07-01 00:00:00,1899-12-31 12:10:00,2012-07-01 00:00:00,1899-12-31 12:20:00,2012-07-01 00:00:00,1899-12-31 13:30:00,MAQ,0,1.5,0,1.5,INC,BM,SF+PC,30000,2012,7,1,2012,7,1,2012,7,1,12,12,13,40,14,S+SE,,7.801,36.548
HELIOPOLIS,BOUATI MAHMOUD,MENCHAR,2012-07-14 00:00:00,1899-12-31 11:45:00,2012-07-14 00:00:00,1899-12-31 12:30:00,2012-07-14 00:00:00,1899-12-31 19:00:00,MAQ,0,25,0,25,INC,PV,SF+PC+EMPS,500000,2012,7,14,2012,7,14,2012,7,14,11,12,19,46,21,S+SE,,7.601,36.412
BOUCHEGOUF,BOUCHEGOUF,RAS EL OUED,2012-07-14 00:00:00,1899-12-31 13:42:00,2012-07-14 00:00:00,1899-12-31 13:58:00,2012-07-17 00:00:00,1899-12-31 10:00:00,CL+CZ,340,0,0,340,INC,PV,SF+PC+DW+EAPC,136000000,2012,7,14,2012,7,14,2012,7,17,13,13,10,46,25,S+SE,,7.728,36.468
AIN HESSAINIA,MEDJEZ AMAR,GELALA,2012-07-24 00:00:00,1899-12-31 15:05:00,2012-07-24 00:00:00,1899-12-31 15:25:00,2012-07-24 00:00:00,1899-12-31 17:40:00,MAQ,0,0.5,0,0.5,INC,PV,SF+PC+EMPS,10000,2012,7,24,2012,7,24,2012,7,24,15,15,17,43,20,S+SE,,7.215,36.447
BOUCHEGOUF,MEDJEZ SFA,CHAABET RAMOUL,2012-07-27 00:00:00,1899-12-31 12:05:00,2012-07-27 00:00:00,1899-12-31 12:30:00,2012-07-28 00:00:00,1899-12-31 05:30:00,CL,160,0,0,160,INC,BM,SF+PC+DW+EAPC,64000000,2012,7,27,2012,7,27,2012,7,28,12,12,5,42,22,S+SE,,7.756,36.585
HAMMAM N'BAIL,OUED CHEHAM,FROUJA,2012-07-27 00:00:00,1899-12-31 14:50:00,2012-07-27 00:00:00,1899-12-31 15:10:00,2012-07-27 00:00:00,1899-12-31 18:00:00,MAQ,0,3,0,3,INC,BM,SF+PC,60000,2012,7,27,2012,7,27,2012,7,27,14,15,18,42,15,S+SE,,7.454,36.287
HAMMAM N'BAIL,HAMMAM N'BAILS,CHt TAFRANT,2012-08-02 00:00:00,1899-12-31 14:00:00,2012-08-02 00:00:00,1899-12-31 14:30:00,2012-08-02 00:00:00,1899-12-31 17:30:00,BRS,0,0,1,1,INC,BM,SF+PC,10000,2012,8,2,2012,8,2,2012,8,2,14,14,17,43.6,12.4,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.122,36.334
OUED ZENATI,BORDJ SABAT,HOUZ MOUBIA,2012-08-03 00:00:00,1899-12-31 16:00:00,2012-08-03 00:00:00,1899-12-31 16:15:00,2012-08-03 00:00:00,1899-12-31 19:45:00,MAQ,0,5,0,5,INC,BM,SF+PC,100000,2012,8,3,2012,8,3,2012,8,3,16,16,19,43,12.4,S+SE,Constantine NJ-32-16 EST,7.318,36.329
AIN HESSAINIA,HOUARI BOUMEDIENNE,DJ BOUGRÉNISSA,2012-08-03 00:00:00,1899-12-31 14:00:00,2012-08-03 00:00:00,1899-12-31 14:30:00,2012-08-03 00:00:00,1899-12-31 18:30:00,MAQ,0,7,0,7,INC,BM,SF+PC,140000,2012,8,3,2012,8,3,2012,8,3,14,14,18,43,12.4,S+SE,Hammam Meskhoutine N° 53,7.264,36.414
AIN MAKHLOUF,AIN LARBI,KEF FERNANE,2012-08-03 00:00:00,1899-12-31 17:10:00,2012-08-03 00:00:00,1899-12-31 18:30:00,2012-08-04 00:00:00,1899-12-31 00:05:00,MAQ,0,7,0,7,INC,BM,SF+PC,140000,2012,8,3,2012,8,3,2012,8,4,17,18,0,43,12.4,S+SE,Guelma NJ-32-5 EST,7.392,36.232
OUED ZENATI,BORDJ SABAT,HOUZ MOUBIA,2012-08-05 00:00:00,1899-12-31 10:40:00,2012-08-05 00:00:00,1899-12-31 10:55:00,2012-08-06 00:00:00,1899-12-31 13:00:00,CL+MAQ,150,150,0,300,INC,BM,SF+PC+DW+VOL,63000000,2012,8,5,2012,8,5,2012,8,6,10,10,13,46,15.5,S+SE,Constantine NJ-32-16 EST,7.318,36.329
BOUCHEGOUF,MEDJEZ SFA,LOURIDA,2012-08-05 00:00:00,1899-12-31 13:30:00,2012-08-05 00:00:00,1899-12-31 16:00:00,2012-08-06 00:00:00,1899-12-31 06:30:00,CL,240,0,0,240,INC,BM,SF+PC+EAPC+VOL,96000000,2012,8,5,2012,8,5,2012,8,6,13,16,6,46,23,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.756,36.585
GUELAAT BOU SBAA,NECHMAYA,KEF LAHCANE,2012-08-05 00:00:00,1899-12-31 14:15:00,2012-08-05 00:00:00,1899-12-31 14:25:00,2012-08-05 00:00:00,1899-12-31 17:00:00,MAQ,0,3,0,3,INC,BM,SF+EMPS,60000,2012,8,5,2012,8,5,2012,8,5,14,14,17,46,15.5,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
BOUCHEGOUF,MEDJEZ SFA,GHAR BOUZID,2012-08-05 00:00:00,1899-12-31 14:47:00,2012-08-05 00:00:00,1899-12-31 15:30:00,2012-08-06 00:00:00,1899-12-31 18:30:00,MAQ,0,2,0,2,INC,BM,SF+PC,40000,2012,8,5,2012,8,5,2012,8,6,14,15,18,46,23,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.756,36.585
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,2012-08-05 00:00:00,1899-12-31 16:15:00,2012-08-05 00:00:00,1899-12-31 16:45:00,2012-08-05 00:00:00,1899-12-31 21:30:00,CL,8,0,0,8,INC,BM,SF+EMPS,3200000,2012,8,5,2012,8,5,2012,8,5,16,16,21,46,18,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
HAMMAM N'BAIL,DAHOUARA,SFt OULED CHEIKH,2012-08-06 00:00:00,1899-12-31 20:45:00,2012-08-06 00:00:00,1899-12-31 21:30:00,2012-08-06 00:00:00,1899-12-31 22:50:00,PA,10,0,0,10,INC,PAPC,SF+PC,4000000,2012,8,6,2012,8,6,2012,8,6,20,21,22,40,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.841,36.321
KHEZARA,AIN SANDEL,DJ FOURAR,2012-08-07 00:00:00,1899-12-31 20:35:00,2012-08-07 00:00:00,1899-12-31 21:00:00,2012-08-08 00:00:00,1899-12-31 14:45:00,MAQ,0,6,0,6,INC,DW,SF+PC,120000,2012,8,7,2012,8,7,2012,8,8,20,21,14,39,11.2,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.145,36.345
KHEZARA,AIN SANDEL,DJ BOUAICHOUNE,2012-08-07 00:00:00,1899-12-31 20:35:00,2012-08-07 00:00:00,1899-12-31 21:15:00,2012-08-08 00:00:00,1899-12-31 11:45:00,MAQ,0,9,0,9,INC,DW,SF+EMPS,180000,2012,8,7,2012,8,7,2012,8,8,20,21,11,39,11.2,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.145,36.345
KHEZARA,KHEZARAS,KEF MAKHDOUM,2012-08-07 00:00:00,1899-12-31 13:38:00,2012-08-07 00:00:00,1899-12-31 13:48:00,2012-08-07 00:00:00,1899-12-31 15:20:00,PA+EUC,0.5,0,0,0.5,INC,PV,SF+PC,200000,2012,8,7,2012,8,7,2012,8,7,13,13,15,39,11.2,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.019,36.286
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,2012-08-08 00:00:00,1899-12-31 15:25:00,2012-08-08 00:00:00,1899-12-31 15:50:00,2012-08-08 00:00:00,1899-12-31 23:00:00,CL,10,0,0,10,INC,PV,SF+EMPS,4000000,2012,8,8,2012,8,8,2012,8,8,15,15,23,44.4,15.5,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,2012-08-09 00:00:00,1899-12-31 12:55:00,2012-08-09 00:00:00,1899-12-31 13:20:00,2012-08-09 00:00:00,1899-12-31 17:30:00,CL+MAQ+BRS,0.5,0.5,0.5,1.5,INC,PV,SF+PC,215000,2012,8,9,2012,8,9,2012,8,9,12,13,17,41.1,8.4,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
GUELAAT BOU SBAA,NECHMAYA,KEF LAHCANE,2012-08-10 00:00:00,1899-12-31 13:00:00,2012-08-10 00:00:00,1899-12-31 14:30:00,2012-08-10 00:00:00,1899-12-31 18:15:00,CL+MAQ,0.5,3,0,3.5,INC,PV,SF+EMPS,260000,2012,8,10,2012,8,10,2012,8,10,13,14,18,40,13.8,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
HAMMAM N'BAIL,OUED CHEHAM,AIN KEBIRA,2012-08-10 00:00:00,1899-12-31 14:15:00,2012-08-10 00:00:00,1899-12-31 14:30:00,2012-08-10 00:00:00,1899-12-31 14:55:00,MAQ,0,5,0,5,INC,DW,SF+PC,100000,2012,8,10,2012,8,10,2012,8,10,14,14,14,40,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.454,36.287
HAMMAM N'BAIL,OUED CHEHAM,MAIZILETTE,2012-08-10 00:00:00,1899-12-31 14:55:00,2012-08-10 00:00:00,1899-12-31 15:20:00,2012-08-10 00:00:00,1899-12-31 17:00:00,BRS,0,0,1,1,INC,BM,SF+PC,10000,2012,8,10,2012,8,10,2012,8,10,14,15,17,40,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.454,36.287
GUELAAT BOU SBAA,NECHMAYA,MENCHAR,2012-08-11 00:00:00,1899-12-31 10:40:00,2012-08-11 00:00:00,1899-12-31 11:00:00,2012-08-11 00:00:00,1899-12-31 22:30:00,CL+MAQ,15,10,0,25,INC,PV,SF+PC+EAPC,6200000,2012,8,11,2012,8,11,2012,8,11,10,11,22,36.5,15.5,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
OUED ZENATI,BORDJ SABAT,HADJAR EL MENCHAR,2012-08-12 00:00:00,1899-12-31 11:20:00,2012-08-12 00:00:00,1899-12-31 11:50:00,2012-08-12 00:00:00,1899-12-31 21:30:00,MAQ,0,8,0,8,INC,BM,SF+PC,160000,2012,8,12,2012,8,12,2012,8,12,11,11,21,43,4.1,S+SE,Guelma NJ-32-5 EST,7.318,36.329
BOUCHEGOUF,BOUCHEGOUF,BOUKERCHE,2012-08-12 00:00:00,1899-12-31 12:15:00,2012-08-12 00:00:00,1899-12-31 12:25:00,2012-08-12 00:00:00,1899-12-31 17:50:00,MAQ,0,3,0,3,INC,PV,SF+PC,60000,2012,8,12,2012,8,12,2012,8,12,12,12,17,43,4.1,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.728,36.468
HAMMAM DEBAGH,ROKNIA,KEF RAYEB,2012-08-12 00:00:00,1899-12-31 10:00:00,2012-08-12 00:00:00,1899-12-31 10:40:00,2012-08-12 00:00:00,1899-12-31 17:00:00,MAQ,0,0,0.5,0.5,INC,PV,SF+EMPS,5000,2012,8,12,2012,8,12,2012,8,12,10,10,17,43,4.1,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
HAMMAM DEBAGH,BOUHAMDANE,KER SERAK,2012-08-13 00:00:00,1899-12-31 14:51:00,2012-08-13 00:00:00,1899-12-31 15:30:00,2012-08-14 00:00:00,1899-12-31 21:45:00,MAQ,0,28,0,28,INC,BM,SF+PC,560000,2012,8,13,2012,8,13,2012,8,14,14,15,21,41,13.8,S+SE,Guelma NJ-32-5 EST,7.311,36.362
GUELAAT BOU SBAA,NECHMAYA,CHAABET RAMOUL,2012-08-15 00:00:00,1899-12-31 15:15:00,2012-08-15 00:00:00,1899-12-31 15:40:00,2012-08-15 00:00:00,1899-12-31 19:10:00,BRS,0,0,1,1,INC,PV,SF+PC,10000,2012,8,15,2012,8,15,2012,8,15,15,15,19,41.6,9.8,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
OUED ZENATI,BORDJ SABAT,HADJAR EL TELDJ,2012-08-16 00:00:00,1899-12-31 04:53:00,2012-08-16 00:00:00,1899-12-31 06:05:00,2012-08-16 00:00:00,1899-12-31 10:30:00,PA,4,0,0,4,INC,BM,SF+PC,1600000,2012,8,16,2012,8,16,2012,8,16,4,6,10,42.1,8.4,S+SE,Guelma NJ-32-5 EST,7.318,36.329
OUED ZENATI,BORDJ SABAT,HADJAR EL MENCHAR,2012-08-16 00:00:00,1899-12-31 11:00:00,2012-08-16 00:00:00,1899-12-31 11:40:00,2012-08-16 00:00:00,1899-12-31 22:50:00,MAQ,0,17,0,17,INC,BM,SF+PC,340000,2012,8,16,2012,8,16,2012,8,16,11,11,22,42.1,8.4,S+SE,Constantine NJ-32-16 EST,7.318,36.329
HAMMAM DEBAGH,ROKNIA,DJ BOUASLOUDJ,2012-08-18 00:00:00,1899-12-31 11:15:00,2012-08-18 00:00:00,1899-12-31 11:55:00,2012-08-18 00:00:00,1899-12-31 18:45:00,CL,7,0,0,7,INC,PV,SF+PC,2800000,2012,8,18,2012,8,18,2012,8,18,11,11,18,37.6,11.2,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
HAMMAM DEBAGH,ROKNIA,AIN EL OUAHCH,2012-08-19 00:00:00,1899-12-31 11:30:00,2012-08-19 00:00:00,1899-12-31 12:10:00,2012-08-19 00:00:00,1899-12-31 17:20:00,MAQ,0,10,0,10,INC,PV,SF+PC,200000,2012,8,19,2012,8,19,2012,8,19,11,12,17,38.4,15.5,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
GUELAAT BOU SBAA,NECHMAYA,TEBAIB EL SOUF,2012-08-19 00:00:00,1899-12-31 13:10:00,2012-08-19 00:00:00,1899-12-31 13:30:00,2012-08-19 00:00:00,1899-12-31 18:30:00,CL+MAQ,4.5,0,1.5,6,INC,PV,SF+PC,1815000,2012,8,19,2012,8,19,2012,8,19,13,13,18,38.4,15.5,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
HAMMAM DEBAGH,ROKNIA,DJ EL GUERAR,2012-08-19 00:00:00,1899-12-31 12:10:00,2012-08-19 00:00:00,1899-12-31 12:55:00,2012-08-19 00:00:00,1899-12-31 17:20:00,MAQ,0,10,0,10,INC,PV,SF+PC,200000,2012,8,19,2012,8,19,2012,8,19,12,12,17,38.4,15.5,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
BOUCHEGOUF,BOUCHEGOUF,BENI SALAH,2012-08-19 00:00:00,1899-12-31 17:30:00,2012-08-19 00:00:00,1899-12-31 18:00:00,2012-08-23 00:00:00,1899-12-31 14:00:00,CL+CZ+EUC+MAQ,190,50,0,240,INC,BM,SF+PC,77000000,2012,8,19,2012,8,19,2012,8,23,17,18,14,38.4,15.5,S+SE,Deraane NJ-32-II-4 OUEST,7.728,36.468
GUELAAT BOU SBAA,NECHMAYA,CHAABET RAMOUL,2012-08-21 00:00:00,1899-12-31 10:40:00,2012-08-21 00:00:00,1899-12-31 11:00:00,2012-08-21 00:00:00,1899-12-31 17:30:00,BRS,0,0,4,4,INC,PV,SF+PC,40000,2012,8,21,2012,8,21,2012,8,21,10,11,17,38.2,13.8,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
HAMMAM DEBAGH,ROKNIA,EL MINA,2012-08-21 00:00:00,1899-12-31 18:00:00,2012-08-21 00:00:00,1899-12-31 18:30:00,2012-08-22 00:00:00,1899-12-31 12:15:00,MAQ,0,1,0,1,INC,PV,SF+PC,20000,2012,8,21,2012,8,21,2012,8,22,18,18,12,38.2,13.8,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,2012-08-22 00:00:00,1899-12-31 13:30:00,2012-08-22 00:00:00,1899-12-31 13:50:00,2012-08-22 00:00:00,1899-12-31 17:50:00,MAQ,0,1,0,1,INC,PV,SF+PC,20000,2012,8,22,2012,8,22,2012,8,22,13,13,17,39.2,11.2,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
HAMMAM DEBAGH,BOUHAMDANE,TAYA BENI AHMED,2012-08-23 00:00:00,1899-12-31 11:40:00,2012-08-23 00:00:00,1899-12-31 11:55:00,2012-08-24 00:00:00,1899-12-31 23:00:00,PA,4,0,0,4,INC,BM,SF+PC,1600000,2012,8,23,2012,8,23,2012,8,24,11,11,23,40.2,11.2,S+SE,Guelma NJ-32-5 EST,7.311,36.362
GUELAAT BOU SBAA,NECHMAYA,BOUGHABROUBA,2012-08-23 00:00:00,1899-12-31 12:35:00,2012-08-23 00:00:00,1899-12-31 12:55:00,2012-08-23 00:00:00,1899-12-31 17:30:00,MAQ,0,1,0,1,INC,PV,SF+PC,20000,2012,8,23,2012,8,23,2012,8,23,12,12,17,40.2,11.2,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
GUELAAT BOU SBAA,BENI MEZLINE,ZÉZOUA,2012-08-23 00:00:00,1899-12-31 11:20:00,2012-08-23 00:00:00,1899-12-31 11:55:00,2012-08-23 00:00:00,1899-12-31 15:30:00,MAQ,0,1,0,1,INC,BM,SF+PC,20000,2012,8,23,2012,8,23,2012,8,23,11,11,15,40.2,11.2,S+SE,Deraane NJ-32-II-4 OUEST,7.522,36.504
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,2012-08-24 00:00:00,1899-12-31 09:45:00,2012-08-24 00:00:00,1899-12-31 10:00:00,2012-08-24 00:00:00,1899-12-31 20:00:00,MAQ,0,5,0,5,INC,PV,SF+PC,100000,2012,8,24,2012,8,24,2012,8,24,9,10,20,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.122,36.334
HAMMAM N'BAIL,HAMMAM N'BAILS,HOUZ EL HIMRE,2012-08-24 00:00:00,1899-12-31 10:00:00,2012-08-24 00:00:00,1899-12-31 10:15:00,2012-08-24 00:00:00,1899-12-31 20:00:00,BRS,0,0,4,4,INC,DW,SF+PC,40000,2012,8,24,2012,8,24,2012,8,24,10,10,20,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.122,36.334
HAMMAM N'BAIL,OUED CHEHAM,FROUJA,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 12:15:00,2012-08-24 00:00:00,1899-12-31 19:00:00,MAQ,0,1.5,0,1.5,INC,BM,SF+PC,30000,2012,8,24,2012,8,24,2012,8,24,12,12,19,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.454,36.287
KHEZARA,AIN SANDEL,DJ GHACHIOUA,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 12:15:00,2012-08-24 00:00:00,1899-12-31 17:00:00,MAQ,0,3,0,3,CON,DW,SF+PC+DW,60000,2012,8,24,2012,8,24,2012,8,24,12,12,17,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.145,36.345
HAMMAM DEBAGH,BOUHAMDANE,SEBAA MZAZET,2012-08-24 00:00:00,1899-12-31 12:30:00,2012-08-24 00:00:00,1899-12-31 12:35:00,2012-08-24 00:00:00,1899-12-31 18:40:00,EUC,50,0,0,50,INC,BM,SF+POP,20000000,2012,8,24,2012,8,24,2012,8,24,12,12,18,40.5,13.8,S+SE,Guelma NJ-32-5 EST,7.311,36.362
GUELAAT BOU SBAA,NECHMAYA,JENB EL BAGRA,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 12:30:00,2012-08-24 00:00:00,1899-12-31 15:45:00,BRS,0,0,1,1,INC,PV,SF+EMPS,10000,2012,8,24,2012,8,24,2012,8,24,12,12,15,40.5,13.8,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
BOUCHEGOUF,MEDJEZ SFA,OUM E'SERMEL,2012-08-24 00:00:00,1899-12-31 13:02:00,2012-08-24 00:00:00,1899-12-31 13:20:00,2012-08-25 00:00:00,1899-12-31 13:00:00,CL,5,0,0,5,INC,BM,SF+PC,2000000,2012,8,24,2012,8,24,2012,8,25,13,13,13,40.5,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.756,36.585
HAMMAM DEBAGH,BOUHAMDANE,KER SERAK,2012-08-24 00:00:00,1899-12-31 11:45:00,2012-08-24 00:00:00,1899-12-31 12:00:00,2012-08-24 00:00:00,1899-12-31 18:30:00,CL+MAQ,30,50,0,80,INC,BM,SF+PC,13000000,2012,8,24,2012,8,24,2012,8,24,11,12,18,40.5,13.8,S+SE,Guelma NJ-32-5 EST,7.311,36.362
HAMMAM N'BAIL,HAMMAM N'BAILS,EL BATTOUM,2012-08-25 00:00:00,1899-12-31 12:02:00,2012-08-25 00:00:00,1899-12-31 12:20:00,2012-08-25 00:00:00,1899-12-31 18:00:00,BRS,0,0,2,2,INC,PV,SF+PC,20000,2012,8,25,2012,8,25,2012,8,25,12,12,18,40.6,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.122,36.334
HELIOPOLIS,HELIOPOLIS,BOUGUERGUER,2012-08-25 00:00:00,1899-12-31 12:15:00,2012-08-25 00:00:00,1899-12-31 12:30:00,2012-08-25 00:00:00,1899-12-31 18:00:00,BRS,0,0,5,5,INC,PV,SF+PC,50000,2012,8,25,2012,8,25,2012,8,25,12,12,18,40.6,13.8,S+SE,Guelma N° 54,7.442,36.503
HAMMAM N'BAIL,HAMMAM N'BAILS,EL BARNOUS,2012-08-25 00:00:00,1899-12-31 11:45:00,2012-08-25 00:00:00,1899-12-31 12:00:00,2012-08-25 00:00:00,1899-12-31 18:00:00,BRS,0,0,0.5,0.5,INC,DW,SF+PC,5000,2012,8,25,2012,8,25,2012,8,25,11,12,18,40.6,13.8,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.122,36.334
GUELAAT BOU SBAA,NECHMAYA,BOUGHABROUBA,2012-08-25 00:00:00,1899-12-31 12:03:00,2012-08-25 00:00:00,1899-12-31 13:00:00,2012-08-25 00:00:00,1899-12-31 16:20:00,MAQ,0,0.5,0,0.5,INC,PV,SF+EMPS,10000,2012,8,25,2012,8,25,2012,8,25,12,13,16,40.6,13.8,S+SE,Azzaba NJ-32-II-3 EST,7.512,36.612
HAMMAM DEBAGH,ROKNIA,KDT LAAZOUZA,2012-08-25 00:00:00,1899-12-31 10:50:00,2012-08-25 00:00:00,1899-12-31 11:40:00,2012-08-25 00:00:00,1899-12-31 15:00:00,MAQ,0,3,0,3,INC,PV,SF+PC,60000,2012,8,25,2012,8,25,2012,8,25,10,11,15,40.6,13.8,S+SE,Hammam Meskhoutine N° 53,7.356,36.536
HAMMAM DEBAGH,BOUHAMDANE,KER SERAK,2012-08-27 00:00:00,1899-12-31 14:36:00,2012-08-27 00:00:00,1899-12-31 15:00:00,2012-08-27 00:00:00,1899-12-31 16:00:00,CL,1,0,0,1,INC,BM,SF+PC,400000,2012,8,27,2012,8,27,2012,8,27,14,15,16,42,10.5,S+SE,Guelma NJ-32-5 EST,7.311,36.362
HELIOPOLIS,BOUATI MAHMOUD,BOUGUERGUER,2012-08-28 00:00:00,1899-12-31 14:25:00,2012-08-28 00:00:00,1899-12-31 15:00:00,2012-08-28 00:00:00,1899-12-31 16:45:00,CL,1,0,0,1,INC,PV,SF+PC,400000,2012,8,28,2012,8,28,2012,8,28,14,15,16,42.5,13.2,S+SE,Azzaba NJ-32-II-3 EST,7.601,36.412
BOUCHEGOUF,MEDJEZ SFA,GHAR BOUZID,2012-08-29 00:00:00,1899-12-31 10:42:00,2012-08-29 00:00:00,1899-12-31 11:00:00,2012-08-29 00:00:00,1899-12-31 13:20:00,CL,2.5,0,0,2.5,INC,BM,SF+PC,1000000,2012,8,29,2012,8,29,2012,8,29,10,11,13,43.2,16.1,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.756,36.585
HAMMAM N'BAIL,OUED CHEHAM,FROUJA,2012-08-29 00:00:00,1899-12-31 11:00:00,2012-08-29 00:00:00,1899-12-31 11:15:00,2012-08-29 00:00:00,1899-12-31 16:20:00,CL+MAQ,2,5,0,7,INC,PV,SF+PC,900000,2012,8,29,2012,8,29,2012,8,29,11,11,16,43.2,16.1,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.454,36.287
BOUCHEGOUF,MEDJEZ SFA,GHAR BOUZID,2012-08-30 00:00:00,1899-12-31 10:30:00,2012-08-30 00:00:00,1899-12-31 10:45:00,2012-08-30 00:00:00,1899-12-31 23:09:00,MAQ,0,2.5,0,2.5,INC,BM,SF+PC,50000,2012,8,30,2012,8,30,2012,8,30,10,10,23,44,12.7,S+SE,Souk Ahras NJ-32-II-6 OUEST,7.756,36.585
