DAIRA,COMMUNE,FORET,LONGITUDE,LATITUDE,DATE_DECL,HEURE_DECL,DATE_INT,HEURE_INT,DATE_EXT,HEURE_EXT,ESSENCE,TOT_FORET,TOT_MAQUIS,TOT_BROUSSAILLES,SURF_TOTAL,CAUSE,SIGNALE,ORGANISMES,DEGATS,DECL_YEAR,DECL_MONTH,DECL_DAY,INT_YEAR,INT_MONTH,INT_DAY,EXT_YEAR,EXT_MONTH,EXT_DAY,DECL_HOUR,INT_HOUR,EXT_HOUR,METEO_TEMP,METEO_VENTE_VITESSE,METEO_VENTE_DIRECTION,LOCATION_NAME
HAMMAM N'BAIL,OUED CHEHAM,OUED GHANEM,,,2010-09-11 00:00:00,1899-12-31 16:03:00,2010-09-11 00:00:00,1899-12-31 16:03:00,2010-09-11 00:00:00,1899-12-31 17:00:00,BRS,0,0,0.25,0.25,INC,PV,SF,25000,2010,9,11,2010,9,11,2010,9,11,16,16,17,20.06,7.27,NO+O,
HAMMAM DEBAGH,BOUHAMDANE,AIN EL LOUZA,,,2010-09-16 00:00:00,1899-12-31 17:10:00,2010-09-16 00:00:00,1899-12-31 17:10:00,2010-09-16 00:00:00,1899-12-31 18:40:00,BRS,0,0,0.25,0.25,INC,PV,SF+DW,25000,2010,9,16,2010,9,16,2010,9,16,17,17,18,22.45,5.52,S,
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,,,2010-09-17 00:00:00,1899-12-31 12:30:00,2010-09-17 00:00:00,1899-12-31 12:30:00,2010-09-17 00:00:00,1899-12-31 17:00:00,BRS,0,0,3.5,3.5,INC,CT,SF+PC+DW,350000,2010,9,17,2010,9,17,2010,9,17,12,12,17,25.1,7.75,S,
HAMMAM DEBAGH,ROKNIA,MECHTAT EL KEF,,,2010-09-17 00:00:00,1899-12-31 12:55:00,2010-09-17 00:00:00,1899-12-31 12:55:00,2010-09-17 00:00:00,1899-12-31 19:25:00,MAQ,0,8,0,8,INC,BM,SF+PC,1600000,2010,9,17,2010,9,17,2010,9,17,12,12,19,25.1,7.75,S,
GUELAAT BOU SBAA,NECHMAYA,OULED CHIHA,,,2010-09-17 00:00:00,1899-12-31 12:50:00,2010-09-17 00:00:00,1899-12-31 12:50:00,2010-09-17 00:00:00,1899-12-31 16:30:00,BRS,0,0,1.5,1.5,INC,PV,SF,150000,2010,9,17,2010,9,17,2010,9,17,12,12,16,25.1,7.75,S,
HAMMAM N'BAIL,OUED CHEHAM,MENZEL BOUGUETAYA,,,2010-09-17 00:00:00,1899-12-31 16:10:00,2010-09-17 00:00:00,1899-12-31 16:10:00,2010-09-17 00:00:00,1899-12-31 17:45:00,BRS,0,0,0.5,0.5,INC,BM,SF,50000,2010,9,17,2010,9,17,2010,9,17,16,16,17,25.1,7.75,S,
HAMMAM N'BAIL,OUED CHEHAM,GELALA,,,2010-09-17 00:00:00,1899-12-31 19:45:00,2010-09-17 00:00:00,1899-12-31 19:45:00,2010-09-17 00:00:00,1899-12-31 23:25:00,MAQ,0,2.5,0,2.5,INC,BM,SF+PC+DW,500000,2010,9,17,2010,9,17,2010,9,17,19,19,23,25.1,7.75,S,
KHEZARA,KHEZARAS,EL MERTAH,,,2010-09-17 00:00:00,1899-12-31 20:51:00,2010-09-17 00:00:00,1899-12-31 20:51:00,2010-09-17 00:00:00,1899-12-31 22:25:00,BRS,0,0,1,1,INC,PV,SF+PC+DW,100000,2010,9,17,2010,9,17,2010,9,17,20,20,22,25.1,7.75,S,
BOUCHEGOUF,MEDJEZ SFA,EL BATHA,,,2010-09-18 00:00:00,1899-12-31 11:35:00,2010-09-18 00:00:00,1899-12-31 11:35:00,2010-09-18 00:00:00,1899-12-31 17:50:00,CL+MAQ,3,3,0,6,INC,BM,SF+PC,1800000,2010,9,18,2010,9,18,2010,9,18,11,11,17,25.96,8.45,S+N,
BOUCHEGOUF,MEDJEZ SFA,LOURIDA,,,2010-09-18 00:00:00,1899-12-31 14:10:00,2010-09-18 00:00:00,1899-12-31 14:10:00,2010-09-18 00:00:00,1899-12-31 20:45:00,CL+MAQ,4,3,0,7,INC,PV,SF+PC,2200000,2010,9,18,2010,9,18,2010,9,18,14,14,20,25.96,8.45,S+N,
